C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
8,PF #12,"Tirafondo Nº2, 7/8x149",ESTAMC,0.552,1881,1650,910.8000000000001,,7.894736842105263,P,1548,,0.9381818181818182,,,,,,,0,,,,,,,,,,,,,854.4960000000001,0,
27,PF #13,Soporte Extension ADSS GV 240x50x8MM,ESTAMC,0.58,504,450,261,,8.035714285714286,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2500,
18,PF #5,"Grillete recto 14mm, perf.18",FORJAR,0.322,774,680,218.96,,7.906976744186046,T,225,,0.33088235294117646,,,,,,,0,,,,,,,,,,,,,72.45,2881,
115,PF #6,Perno riel FFCC BCY 7/8x115,ESTAMC,0.445,1215,265,117.925,,1.962962962962963,P,305,,1.150943396226415,,,,,,,0,,,,,,,,,,,,,135.725,0,
105,PF #7,Perno riel FFCC JDZ 1x130,ESTAMC,0.685,1827,480,328.8,,2.3645320197044337,P,250,,0.5208333333333334,,,,,,,0,,,,,,,,,,,,,171.25,0,
112,PUNT ARC,Perno riel FFCC KJX 1x140,PUNTEAR,0.72,2070,1000,720,,4.3478260869565215,P,1030,,1.03,,,,,,,0,,,,,,,,,,,,,741.6,0,
87,PUNT BARRA,Barra 3/4 1020,PUBARR,13.44,216,75,1008,,3.125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
10,PUNT TIR,"Tirafondo Nº2, 7/8x149",PUTIR,0.552,1800,1600,883.2,,8,P,1611,,1.006875,,,,,,,0,,,,,,,,,,,,,889.272,0,
78,TERR #1,Perno Cab Cuad 5/8x2.1/2,TERRAJAR,0.148,1575,1050,155.4,,6,T,496,,0.4723809523809524,,,,,,,0,,,,,,,,,,,,,73.408,2385,
118,TERR #4,Perno riel FFCC BCY 7/8x115,TERRAJAR,0.445,873,765,340.425,,7.88659793814433,T,420,,0.5490196078431373,,,,,,,0,,,,,,,,,,,,,186.9,3000,
42,TIJERA #1,PEINETA DISUASIVA         PUA 150,CORT PUA150,0.035,5400,1200,42.00000000000001,,2,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
7,TIJERA #2,"Tirafondo Nº2, 7/8x149",CORTAR,0.552,4590,1510,833.5200000000001,,2.9607843137254903,P,1190,,0.7880794701986755,,,,,,,0,,,,,,,,,,,,,656.8800000000001,0,
66,TIJERA #2,Perno Talón Aguja DJKZ  1xM305   1045,CORTAR,1.467,3150,150,220.05,,0.42857142857142855,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
109,TIJERA #2,Perno riel FFCC KJX 1x140,CORTAR,0.72,4230,698,502.56,,1.4851063829787234,P,715,,1.024355300859599,,,,,,,0,,,,,,,,,,,,,514.8,0,
119,TIJERA UNI,Barra Ojo Soldado 7/8x2.94mtrs (Ojo Especial),CORTAR,9.5,675,36,342,,0.48,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
PRODUCCIÓN  NO PROGRAMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,$ KG,
,,PRODUCTO,CANTIDAD,PESO,TOTAL,$/KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE PRODUCCIÓN DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumen,,,,,,,% CUMPLIMIENTO PROGRAMA DIARIO,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, TOTAL Programados,TOTAL Producidos, Cumplimiento %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,4.0,5,6,7,10.0,11,12,13,14,17,18,19,20,21,24,25.0,26,27.0,28,31.0,,,,,,,,
$,,6361709.76,3851266.5300000003,0.6053823068470198,,,,0.6023976779065261,0.527210308574839,0.6916719694812461,0.42424659891736843,0.6151690388981154,0.4797797561328889,0.5074816630689118,0.49639718557621215,0.5533872248260133,0.5524943932407457,0.5388548742518959,0.5836172072038138,0.4482389054121599,,,,,,,,,,,0.540072831037749,,,,
Prod. Terminada (Kg),,2376.5850000000005,1580.758,0.6651384234100609,,,,0.4651192940324672,0.525009384921815,0.5956872301953272,0.4650837961039178,0.6164516479149207,0.48162108507115237,0.3989105027137111,0.5471398184693738,0.5747899476104628,0.5422599666189177,0.5560390722282085,0.6045301481285185,0.4641004750119137,,,,,,,,,,,0.525903259155439,,,,
Proceso (etapas) (Kg),,8285.557,5035.213000000001,0.6077096566953797,,,,0.500245263479926,0.7309049201099513,0.5219565165584328,0.6261161617678687,0.37265209696792173,0.5226083902466698,0.43484790301254883,0.3580370904912643,0.8620594121930978,0.4753124947200642,0.5119859625518641,0.4230210908650597,0.45147005143383817,,,,,,,,,,,0.5224013349537314,,,,
Estándar (Und/hr),,,,"0,0%",,,,0.7459637596307571,0.8073994837080966,0.8352184631919015,0.7979261868591864,0.7137993557693135,0.8006101999201308,0.843649687820142,0.8659114598079388,0.920537752019171,0.7925626493822313,0.8119592811012644,0.8587547724869566,0.8398262608459033,,,,,,,,,,,0.8180091778879226,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Procesados (Kg) (distintos procesos),,10662.142000000002,6615.9710000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRESUPUESTO,, Cumplimiento %,,,% CUMPLIMIENTO META DIARIA MARZO 2025,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12388992.38,,0.31086196616096395,,,,0.31508034554138614,0.32089749675025625,0.5150231337861232,0.2725581464922977,0.3603769487506941,0.2687642266513364,0.28947805729459974,0.2965429116681723,0.2590710745113881,0.2965429116681723,0.28640196806707535,0.4046925501458739,0.28172410579850565,,,,,,,,,,,0.3205502982404524,,,,
,,3989.8,,0.39619980951426137,,,,0.27156248433505437,0.28606759737330195,0.42990830116797835,0.29177277557772324,0.37866459471652714,0.32761942954534057,0.2591202566544689,0.3740613564589704,0.30606145671462226,0.3740613564589704,0.34908140758935285,0.4997217905659432,0.340508045516066,,,,,,,,,,,0.3452469886672554,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A  L  T  E  R  N  A  T  I  V  A  S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-03-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,UND PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
