C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
52,TIJERA #2,"Espiga 3/4x155x295 caps.1.3/8"" Poliamida c/HOR",CORTAR,0.741,4050,1000,741,,2.2222222222222223,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
66,TIJERA #2,Perno Talón Aguja DJKZ  1xM305   1045,CORTAR,1.467,3150,150,220.05,,0.42857142857142855,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
PRODUCCIÓN  NO PROGRAMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,PRODUCTO,CANTIDAD,PESO,TOTAL,$/KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE PRODUCCIÓN DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumen,,,,,,,% CUMPLIMIENTO PROGRAMA DIARIO,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, TOTAL Programados,TOTAL Producidos, Cumplimiento %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,4.0,5,6,7,10.0,11,12,13,14,17,18,19,20,21,24,25.0,26,27.0,28,31.0,,,,,,,,
$,,6337172.4,3111778.6599999997,0.49103582222254194,,,,0.6023976779065261,0.527210308574839,0.6916719694812461,0.42424659891736843,0.6151690388981154,0.4797797561328889,0.5074816630689118,0.49639718557621215,,,,,,,,,,,,,,,,0.5430442748195135,,,,
Prod. Terminada (Kg),,2316.282,1072.391,0.46297946450389027,,,,0.4651192940324672,0.525009384921815,0.5956872301953272,0.4650837961039178,0.6164516479149207,0.48162108507115237,0.3989105027137111,0.5471398184693738,,,,,,,,,,,,,,,,0.5118778449278357,,,,
Proceso (etapas) (Kg),,10002.489,4817.523000000001,0.4816324216902414,,,,0.500245263479926,0.7309049201099513,0.5219565165584328,0.6261161617678687,0.37265209696792173,0.5226083902466698,0.43484790301254883,0.3580370904912643,,,,,,,,,,,,,,,,0.508421042829323,,,,
Estándar (Und/hr),,,,"0,0%",,,,0.7459637596307571,0.8073994837080966,0.8352184631919015,0.7979261868591864,0.7137993557693135,0.8006101999201308,0.843649687820142,0.8659114598079388,,,,,,,,,,,,,,,,0.8013098245884334,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Procesados (Kg) (distintos procesos),,12318.771,5889.914000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRESUPUESTO,, Cumplimiento %,,,% CUMPLIMIENTO META DIARIA MARZO 2025,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12388992.38,,0.25117286091994506,,,,0.31508034554138614,0.32089749675025625,0.5150231337861232,0.2725581464922977,0.3603769487506941,0.2687642266513364,0.28947805729459974,0.2965429116681723,,,,,,,,,,,,,,,,0.3298401583668582,,,,
,,3989.8,,0.2687831470249135,,,,0.27156248433505437,0.28606759737330195,0.42990830116797835,0.29177277557772324,0.37866459471652714,0.32761942954534057,0.2591202566544689,0.3740613564589704,,,,,,,,,,,,,,,,0.32734709947867063,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A  L  T  E  R  N  A  T  I  V  A  S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-03-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,UND PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
