C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
103,MIG #1,PEINETA DISUASIVA         10004697 1 X 1    ,SOLDAR,2.72,45,45,122.4,,9,T,40,,0.8888888888888888,,,,,,,0,,,,,,,,,,,,,108.80000000000001,6461,
60,MIG #2,ESPACIADOR DE LINEA B.T.  50 x 35 x 5 - 6 VI,SOLDAR,12,36,36,432,,9,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2978,
8,PF #12,"Tirafondo Nº2, 7/8x149",ESTAMC,0.552,1881,1881,1038.3120000000001,,9,P,1549,,0.823498139287613,,,,,,,0,,,,,,,,,,,,,855.0480000000001,0,
27,PF #13,Soporte Extension ADSS GV 240x50x8MM,ESTAMC,0.58,504,504,292.32,,9,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2500,
20,PF #2,Soporte Susp. p/DAC Preensamblado,ACANAL,0.34,1800,1200,408.00000000000006,,6,P,916,,0.7633333333333333,,,,,,,0,,,,,,,,,,,,,311.44,0,
34,PF #2,Eslabón Angular Estampado perf.18,DOBLAF,0.453,3447,550,249.15,,1.4360313315926894,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2600,
13,PF #4,"Grillete recto 14mm, perf.18",ESTAC1,0.322,1332,620,199.64000000000001,,4.1891891891891895,P,310,,0.5,,,,,,,0,,,,,,,,,,,,,99.82000000000001,0,
14,PF #4,"Grillete recto 14mm, perf.18",ESTAC2,0.322,1458,695,223.79,,4.290123456790123,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
75,PF #5,Perno Cab Cuad 5/8x2.1/2,ESTAMC,0.148,1485,1485,219.78,,9,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
62,PF #6,Perno riel FFCC BCY 7/8x115,ESTAMC,0.445,1215,515,229.175,,3.814814814814815,P,515,,1,,,,,,,0,,,,,,,,,,,,,229.175,0,
115,PF #6,Perno riel FFCC BCY 7/8x115,ESTAMC,0.445,1215,600,267,,4.444444444444445,P,35,,0.058333333333333334,,,,,,,0,,,,,,,,,,,,,15.575000000000001,0,
77,PUNT ARC,Perno Cab Cuad 5/8x2.1/2,PUNTEAR,0.148,2970,655,96.94,,1.9848484848484849,P,155,,0.2366412213740458,,,,,,,0,,,,,,,,,,,,,22.939999999999998,0,
87,PUNT BARRA,Barra 3/4 1020,PUBARR,13.44,216,75,1008,,3.125,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
10,PUNT TIR,"Tirafondo Nº2, 7/8x149",PUTIR,0.552,1800,1800,993.6000000000001,,9,P,1611,,0.895,,,,,,,0,,,,,,,,,,,,,889.272,0,
78,TERR #1,Perno Cab Cuad 5/8x2.1/2,TERRAJAR,0.148,1575,655,96.94,,3.742857142857143,T,,,0,,,,,,,0,,,,,,,,,,,,,0.0,2385,
65,TERR #4,Perno riel FFCC BCY 7/8x115,TERRAJAR,0.445,873,615,273.675,,6.34020618556701,T,397,,0.6455284552845528,,,,,,,0,,,,,,,,,,,,,176.665,3000,
7,TIJERA #2,"Tirafondo Nº2, 7/8x149",CORTAR,0.552,4590,1375,759.0000000000001,,2.696078431372549,P,840,,0.610909090909091,,,,,,,0,,,,,,,,,,,,,463.68000000000006,0,
104,TIJERA #2,Perno riel FFCC JDZ 1x130,CORTAR,0.685,4230,1000,685,,2.127659574468085,P,1008,,1.008,,,,,,,0,,,,,,,,,,,,,690.48,0,
109,TIJERA #2,Perno riel FFCC KJX 1x140,CORTAR,0.72,4230,1000,720,,2.127659574468085,P,,,0,,,,,,,0,,,,,,,,,,,,,0.0,0,
114,TIJERA #2,Perno riel FFCC BCY 7/8x115,CORTAR,0.445,4590,1000,445,,1.9607843137254901,P,1015,,1.015,,,,,,,0,,,,,,,,,,,,,451.675,0,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
PRODUCCIÓN  NO PROGRAMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,$ KG,
,,PRODUCTO,CANTIDAD,PESO,TOTAL,$/KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE PRODUCCIÓN DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resumen,,,,,,,% CUMPLIMIENTO PROGRAMA DIARIO,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, TOTAL Programados,TOTAL Producidos, Cumplimiento %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,4.0,5,6,7,10.0,11,12,13,14,17,18,19,20,21,24,25.0,26,27.0,28,31.0,,,,,,,,
$,,6584763.300000001,2944151.8,0.44711581356310853,,,,0.6023976779065261,0.527210308574839,0.6916719694812461,0.42424659891736843,0.6151690388981154,0.4797797561328889,0.5074816630689118,0.49639718557621215,0.5533872248260133,,,,,,,,,,,,,,,0.5441934914869023,,,,
Prod. Terminada (Kg),,2504.7970000000005,1141.065,0.45555188703914923,,,,0.4651192940324672,0.525009384921815,0.5956872301953272,0.4650837961039178,0.6164516479149207,0.48162108507115237,0.3989105027137111,0.5471398184693738,0.5747899476104628,,,,,,,,,,,,,,,0.5188680785592388,,,,
Proceso (etapas) (Kg),,10463.754,5317.755000000001,0.5082071883570658,,,,0.500245263479926,0.7309049201099513,0.5219565165584328,0.6261161617678687,0.37265209696792173,0.5226083902466698,0.43484790301254883,0.3580370904912643,0.8620594121930978,,,,,,,,,,,,,,,0.5477141949808535,,,,
Estándar (Und/hr),,,,"0,0%",,,,0.7459637596307571,0.8073994837080966,0.8352184631919015,0.7979261868591864,0.7137993557693135,0.8006101999201308,0.843649687820142,0.8659114598079388,0.920537752019171,,,,,,,,,,,,,,,0.8145573720807375,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Procesados (Kg) (distintos procesos),,12968.551000000001,6458.8200000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRESUPUESTO,, Cumplimiento %,,,% CUMPLIMIENTO META DIARIA MARZO 2025,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12388992.38,,0.23764255475310894,,,,0.31508034554138614,0.32089749675025625,0.5150231337861232,0.2725581464922977,0.3603769487506941,0.2687642266513364,0.28947805729459974,0.2965429116681723,0.2590710745113881,,,,,,,,,,,,,,,0.32197692682736156,,,,
,,3989.8,,0.2859955386234899,,,,0.27156248433505437,0.28606759737330195,0.42990830116797835,0.29177277557772324,0.37866459471652714,0.32761942954534057,0.2591202566544689,0.3740613564589704,0.30606145671462226,,,,,,,,,,,,,,,0.324982028060443,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A  L  T  E  R  N  A  T  I  V  A  S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-03-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,UND PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
