C  O  N  T  R  O  L      D  E      M  A  Q  U  I  N  A  S      E  N      P  R  O  C  E  S  O,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, TOTAL Programados,TOTAL Producidos, Cumplimiento %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,4.0,5,6,7,10.0,11,12,13,14,17,18,19,20,21,24,25.0,26,27.0,28,31.0,,,,,,,,
$,,8590790.09,5024412.92,0.5848603990276289,,,,0.6023976779065261,0.527210308574839,0.6916719694812461,0.42424659891736843,0.6151690388981154,0.4797797561328889,0.5074816630689118,0.49639718557621215,0.5533872248260133,0.5524943932407457,,,,,,,,,,,,,,0.5450235816622867,,,,
Prod. Terminada (Kg),,3298.082,1997.3500000000001,0.6056095633765323,,,,0.4651192940324672,0.525009384921815,0.5956872301953272,0.4650837961039178,0.6164516479149207,0.48162108507115237,0.3989105027137111,0.5471398184693738,0.5747899476104628,0.5422599666189177,,,,,,,,,,,,,,0.5212072673652066,,,,
Proceso (etapas) (Kg),,10113.492000000002,4209.589,0.4162349661224826,,,,0.500245263479926,0.7309049201099513,0.5219565165584328,0.6261161617678687,0.37265209696792173,0.5226083902466698,0.43484790301254883,0.3580370904912643,0.8620594121930978,0.4753124947200642,,,,,,,,,,,,,,0.5404740249547746,,,,
Estándar (Und/hr),,,,"0,0%",,,,0.7459637596307571,0.8073994837080966,0.8352184631919015,0.7979261868591864,0.7137993557693135,0.8006101999201308,0.843649687820142,0.8659114598079388,0.920537752019171,0.7925626493822313,,,,,,,,,,,,,,0.8123578998108869,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Procesados (Kg) (distintos procesos),,13411.574000000002,6206.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRESUPUESTO,, Cumplimiento %,,,% CUMPLIMIENTO META DIARIA MARZO 2025,,,,,,,,,,,,,,,,,,,,,,,,% PROMEDIO ACUMULADO,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12388992.38,,0.40555460572492497,,,,0.31508034554138614,0.32089749675025625,0.5150231337861232,0.2725581464922977,0.3603769487506941,0.2687642266513364,0.28947805729459974,0.2965429116681723,0.2590710745113881,0.2965429116681723,,,,,,,,,,,,,,0.3194335253114426,,,,
,,3989.8,,0.5006140658679633,,,,0.27156248433505437,0.28606759737330195,0.42990830116797835,0.29177277557772324,0.37866459471652714,0.32761942954534057,0.2591202566544689,0.3740613564589704,0.30606145671462226,0.3740613564589704,,,,,,,,,,,,,,0.32988996090029576,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A  L  T  E  R  N  A  T  I  V  A  S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-03-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,MAQUINA,PRODUCTO,PROCESO,PESO,STD TURN,UND PROG,UND PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
